alcohol,sugar,pH,class
9.4,1.9,3.51,0
9.8,2.6,3.2,0
9.8,2.3,3.26,0
9.8,1.9,3.16,0
9.4,1.9,3.51,0
9.4,1.8,3.51,0
9.4,1.6,3.3,0
10,1.2,3.39,0
9.5,2,3.36,0
10.5,6.1,3.35,0
9.2,1.8,3.28,0
10.5,6.1,3.35,0
9.9,1.6,3.58,0
9.1,1.6,3.26,0
9.2,3.8,3.16,0
9.2,3.9,3.17,0
10.5,1.8,3.3,0
9.3,1.7,3.11,0
9,4.4,3.38,0
9.2,1.8,3.04,0
9.4,1.8,3.39,0
9.7,2.3,3.52,0
9.5,1.6,3.17,0
9.4,2.3,3.17,0
9.7,2.4,3.43,0
9.3,1.4,3.34,0
9.5,1.8,3.28,0
9.5,1.6,3.17,0
9.4,1.9,3.47,0
9.8,2,3.38,0
10.1,2.4,3.35,0
10.6,2.5,3.46,0
9.8,2.3,3.17,0
9.4,10.7,3.45,0
9.2,1.8,3.38,0
9.6,5.5,3.4,0
10.8,2.4,3.42,0
9.7,2.1,3.23,0
9.8,1.5,3.5,0
10.5,5.9,3.33,0
10.5,5.9,3.33,0
9.3,2.8,3.26,0
10.5,2.6,3.21,0
10.3,2.2,3.3,0
9.5,1.8,3.48,0
13.1,2.1,3.9,0
9.2,2.2,3.25,0
9.5,1.6,3.25,0
9.2,1.6,3.34,0
9.2,1.4,3.32,0
9.2,1.7,3.15,0
9.4,2.2,3.4,0
9.4,2.1,3.39,0
9.4,3,3.2,0
10.2,2.8,3.17,0
9.5,3.8,3.34,0
9.6,3.4,3.04,0
9.4,5.1,3.26,0
10,2.3,3.43,0
9.4,2.4,3.41,0
9.2,2.2,3.44,0
9.3,1.8,3.21,0
9.5,1.9,3.38,0
9.8,2,3.39,0
10.9,4.65,3.41,0
10.9,4.65,3.41,0
9.6,1.5,3.42,0
10.7,1.6,3.44,0
10.7,2,3.28,0
10.5,1.9,3.34,0
9.5,1.9,3.32,0
9.5,2.1,3.32,0
9.5,1.9,3.31,0
9.2,2.1,3.31,0
9.6,2.5,3.28,0
10.5,2.2,3.54,0
10.5,2.2,3.54,0
10.7,2.4,3.52,0
10.1,2,3.38,0
9.1,1.5,3.16,0
9.2,1.6,3.41,0
9.4,1.9,3.13,0
9.1,2,3.36,0
9.4,1.8,3.16,0
10.3,1.8,3.44,0
10.1,2.2,3.41,0
9.9,1.9,2.93,0
9.6,1.9,3.39,0
9.5,2.1,3.14,0
9,1.8,3.48,0
9.5,1.9,3.23,0
9.9,1.9,2.93,0
9.8,2,2.93,0
9.6,1.9,3.39,0
10.5,1.4,3.75,0
12.9,2.3,3.85,0
10.7,3,3.45,0
9.2,2,3.25,0
9.8,2.5,3.39,0
9,1.9,3.3,0
10.2,2.1,3.4,0
10.4,1.9,3.31,0
9,1.9,3.3,0
9.2,2.1,3.29,0
9.4,2.2,3.33,0
9.2,2.1,3.29,0
9.3,1.7,3.08,0
9.3,1.7,3.46,0
9.6,2.5,3.37,0
9.3,2,3.21,0
9.5,1.8,3.19,0
9.8,2.2,3.15,0
9.8,2.2,3.15,0
9.7,2.3,3.32,0
9.5,1.8,3.19,0
10.5,2.2,3.07,0
10,1.9,3.39,0
9.4,2,3.37,0
10.9,2.2,3.21,0
9.2,1.8,3.34,0
9,1.7,3.3,0
10.9,2.2,3.21,0
9.2,2.5,3.49,0
9.5,2.6,3.44,0
9.5,1.6,3.39,0
9.4,1.9,3.16,0
10.9,1.7,3.53,0
10.9,1.8,3.54,0
10.5,1.8,3.42,0
9.4,1.8,3.42,0
9.4,2,3.24,0
13,2.3,3.63,0
13,2.3,3.63,0
9.8,1.5,3.4,0
9.9,2.2,3.22,0
9.6,1.9,3.19,0
9.5,1.8,3.23,0
9.2,2,3.48,0
9.5,2.1,3.33,0
9.5,2,3.32,0
9.6,1.9,3.19,0
9.5,1.8,3.23,0
14,1.8,3.68,0
9.4,1.7,3.34,0
14,1.8,3.68,0
9.4,1.8,3.17,0
10,1.8,3.54,0
9.3,1.6,3.11,0
10.2,2.3,3.42,0
10.5,2.8,3.53,0
10.3,2.1,3.33,0
9.4,3.4,2.74,0
10.1,1.8,3.35,0
10.1,1.8,3.35,0
10.5,5.5,3.42,0
10.5,5.5,3.42,0
10.5,5.5,3.42,0
10.5,5.5,3.42,0
9.3,2.2,3.48,0
9.3,1.9,3.59,0
9.6,2,3.2,0
9.2,1.3,3.17,0
10,1.7,3.33,0
9.4,7.3,3.37,0
9.4,7.2,3.37,0
9.5,1.7,3.19,0
10.2,2.1,3.34,0
9,1.6,3.37,0
10.4,2.1,3.47,0
9.5,1.8,3,0
9.1,1.8,3.36,0
9.2,2,3.29,0
9.2,2,3.29,0
11.5,1.9,3.42,0
9.5,2,3.33,0
9.5,1.5,3.35,0
9.5,2,3.33,0
10.5,2.3,3.58,0
9.6,2.5,3.48,0
9.5,2.4,3.19,0
9.5,2.4,3.19,0
9.3,2,3.12,0
9.3,2.5,3.44,0
9.3,1.8,3.54,0
9.3,1.9,3.52,0
9.7,2,3.26,0
9.2,2,3.34,0
9.7,2.6,3.39,0
9.5,2,3.2,0
9.5,1.9,3.2,0
9.4,2.9,3.23,0
9.8,1.9,3.57,0
9.5,3.8,3.28,0
9.7,2.2,3.28,0
9.7,2.2,3.28,0
9.4,2,3.25,0
10.2,2.4,3.46,0
10.1,2,3.11,0
13,1.2,3.57,0
11.4,2.1,3.51,0
10.3,1.4,3.22,0
9.3,2.1,3.04,0
9.5,1.5,3.36,0
9.2,1.6,3.34,0
9.2,1.6,3.34,0
10.8,2.6,3.2,0
10.8,2.6,3.2,0
9.3,1.8,3.29,0
9.4,2.7,3.22,0
10.5,2.1,3.31,0
12.4,2,3.3,0
10,2.8,3.35,0
10.2,2.1,3.21,0
10.1,2.2,3.3,0
9.8,2.4,3.24,0
10.5,5.6,3.34,0
11,2,3.14,0
9.1,2.2,3.36,0
9.7,1.9,3.39,0
9.5,2.4,3.3,0
9.4,2,3.34,0
9.4,2,3.15,0
9.5,1.5,3.42,0
10,2,3.28,0
10.4,2,3.31,0
10.5,2.6,3.37,0
9.5,2,3.04,0
9.8,2.6,3.39,0
10.5,2.6,3.37,0
11,2.6,3.46,0
12.2,1.6,3.54,0
9.9,1.8,3.37,0
9.6,2.8,3.34,0
11,2.6,3.46,0
9,2.3,3.32,0
9,1.9,3.37,0
9,1.9,3.37,0
9.2,1.9,3.37,0
9,1.9,3.37,0
9,2.3,3.32,0
9.3,1.7,3,0
10.9,2.1,3.14,0
9.8,1.8,3.08,0
9.2,2.2,3.07,0
9.2,2.2,3.07,0
9.9,2,3.61,0
9.5,1.9,3.38,0
9.3,2.3,3.2,0
9.8,1.7,3.35,0
9.9,2,3.61,0
10,1.6,3.22,0
9.9,1.8,3.47,0
10.5,3.1,3.17,0
9.5,1.9,3.23,0
9.9,1.8,3.47,0
9.3,3.2,3.26,0
9.2,2.2,3.22,0
9.2,2.1,3.49,0
9.4,1.8,3.06,0
10.5,2.6,3.36,0
9.3,1.7,3.29,0
9.4,2,3.35,0
10,1.7,3.34,0
9.3,1.8,3.28,0
10.9,2.4,3.08,0
10.2,1.8,3.2,0
9.8,3.3,3.6,0
12.8,3.6,3.35,0
9.4,3,3.69,0
10.1,4,3.28,0
10.7,4,3.36,0
10.1,4,3.28,0
10.1,4,3.22,0
9.4,2.4,3.31,0
9.4,7,3.38,0
10.7,4,3.36,0
9.4,3,3.69,0
10.1,4,3.28,0
12.6,6.4,3.23,0
10.5,5.6,3.38,0
9.3,3.6,3.12,0
9.9,3.5,3.25,0
9.1,3,3.36,0
10.5,5.6,3.38,0
9.8,3.4,3.31,0
9.8,3.4,3.31,0
10.3,2,3.1,0
10.3,3,3.37,0
10.6,2.5,3.34,0
9.2,3.3,3.2,0
10.6,2.5,3.34,0
10.5,2,3.3,0
10.3,2.7,3.22,0
10.1,2.4,3.41,0
9.5,3.2,3.05,0
9.5,2.5,3.05,0
9.9,2.6,3.16,0
9.6,2,3.67,0
9.7,2.3,3.67,0
9.6,2.1,3.68,0
10.7,2.6,3.38,0
10.1,1.5,3.22,0
10,2.6,3.51,0
9.5,1.6,3.39,0
9.2,2.1,3.2,0
9.3,2.5,3.12,0
9.4,2.2,3.36,0
9.5,2.4,3.19,0
9.5,2.4,3.19,0
9.5,1.7,3.41,0
9.3,2.5,3.12,0
9.4,2,3.27,0
9.5,2.8,3.32,0
9.4,3,3.3,0
11,2.6,3.39,0
11,2.5,3.42,0
10.1,3.4,3.3,0
10.4,2.9,3.3,0
11.5,3.2,3.37,0
10.4,2.9,3.3,0
11.5,3.2,3.37,0
9.7,3.4,3.24,0
9.3,2.3,3.29,0
9.5,2.8,3.28,0
9.2,11,3.16,0
9.2,11,3.16,0
11.5,3.65,3.05,0
11.5,4.5,3.28,0
9.7,2.6,3.16,0
9.5,2,3.18,0
12.5,2.9,3.23,0
12.5,2.9,3.23,0
9.4,3.2,3.22,0
11,2.1,3.13,0
11.7,2.5,3.34,0
12.2,3.4,3.17,0
12.5,1.9,3.35,0
10.3,2.8,3.31,0
11.5,3,3.16,0
9.8,2.3,3.11,0
9.2,2.4,3.12,0
11.3,2.7,3.21,0
9.8,1.8,3.3,0
9.8,1.8,3.3,0
10.7,2.6,3.12,0
9.9,1.9,3.6,0
12.3,2.7,3.58,0
12,3,3.02,0
10,2.8,3.11,0
9.4,2.6,3.36,0
9.9,2.7,3.28,0
9.4,2.6,3.35,0
9.3,2.4,3.27,0
13,4.8,3.18,0
11.9,1.4,3.25,0
12.8,2.4,3.55,0
11,3,3.26,0
11.7,2.95,3.24,0
10.4,3.1,3.15,0
9.8,2.6,3.17,0
9.4,2,3.19,0
9.9,2.6,3.37,0
10,2.5,3.05,0
10.2,2,2.99,0
10,5.8,3.07,0
11.8,3.4,3.26,0
10,5.8,3.07,0
9,2.6,3.16,0
9.4,2.8,3.18,0
12,2.4,3.2,0
9.9,2.3,3.57,0
8.7,1.6,3.32,0
10.6,1.8,3.32,0
9.2,2.2,3.05,0
10.8,3.8,3.01,0
11.8,4.4,3.01,0
11,3,3.26,0
12,2.4,3.2,0
13.3,6.2,3.11,0
10.8,2.5,3.31,0
9.4,2,3.21,0
10,2.9,3.06,0
9.4,2,3.21,0
9.4,2,3.21,0
9.2,2.1,3.42,0
9.7,2.4,3.43,0
9.2,2,3.41,0
9.6,1.9,3.31,0
9.2,1.9,3.43,0
10,2.5,3.19,0
12.9,1.4,3.56,0
10,2.9,3.06,0
9.5,2,3.18,0
9.1,2,3.16,0
9.9,2.3,3.03,0
13,4.2,3.22,0
9.9,7.9,3.47,0
11,2.6,3.18,0
11,2.6,3.18,0
9.4,2.3,3.1,0
9.9,7.9,3.47,0
10.8,1.7,3.29,0
10.5,2.6,3.1,0
10.5,2.7,3.15,0
9.1,2.7,3.26,0
10.1,1.4,3.36,0
10.8,2.5,3.24,0
10.8,3,3.18,0
11.3,3.7,3.19,0
9.6,4.5,3.05,0
9.5,2.5,3.38,0
9.5,2.4,3.38,0
9.3,1.9,3.27,0
11.7,6.7,3.27,0
9.5,2.7,3.26,0
9.3,6.6,3.32,0
11.7,2.2,3.26,0
10.5,1.9,3.44,0
10.4,2,3.24,0
9.9,1.8,3.62,0
11.8,2.4,3.28,0
12.3,2.3,3.52,0
10.9,2,3.36,0
11,2.1,3.15,0
10.9,2,3.36,0
12.3,2.3,3.52,0
11.4,2.1,3.49,0
10.6,1.9,3.26,0
9.3,1.3,3.24,0
10.4,2.4,3.1,0
11,2.1,3.15,0
9.2,2.2,3.25,0
12.8,2.3,3,0
9.5,2.3,3.16,0
9.9,3.2,3.15,0
9.5,2.3,3.16,0
10.2,2,3.26,0
11.2,3.2,3.17,0
9.9,3.2,3.15,0
9.3,1.5,3.08,0
9.8,2.2,2.88,0
11.3,2.15,3.06,0
11.2,3.7,2.95,0
11.6,2.7,3.23,0
12.5,1.7,3.57,0
10.1,2.1,3.23,0
10.5,2.6,3.1,0
11.2,2.1,3.22,0
10.2,2,3.2,0
10.8,2.8,3.1,0
10.8,2.8,3.1,0
9.1,1.8,3.06,0
10,1.7,3.44,0
11.2,2.8,3.26,0
11.1,1.6,3.5,0
13.4,5.2,3.22,0
10.3,2.3,3.37,0
9.6,2.7,3.28,0
11.2,2.8,3.26,0
9,2.2,3.25,0
11.3,2.3,3.35,0
9.3,2.6,3.26,0
11.8,2.55,3.18,0
9,2.2,3.08,0
9.2,2.1,2.98,0
9.7,2.9,3.48,0
11.5,2,3.16,0
14,2.6,3.32,0
9.2,2.1,3.17,0
9.8,1.2,3.2,0
10.6,2.6,3.05,0
11.4,2.4,3.2,0
10.4,2.6,3.15,0
10.6,2.1,3.26,0
9.4,1.7,3.2,0
10.2,2.2,3.14,0
9.7,2,3.28,0
11,1.8,3.18,0
10.2,2.2,3.14,0
10.1,2.7,3.19,0
9.2,15.5,3.12,0
11.7,2.8,3.15,0
9.4,2.2,3.04,0
9.4,2.2,3.04,0
13.4,4.1,3.06,0
10,1.9,3.17,0
10,1.9,3.17,0
10,1.8,3.17,0
10.8,2.8,3.32,0
10.2,2.6,3.34,0
10.6,2.8,3.31,0
13.3,2.5,3.34,0
13.4,2.6,3.32,0
11.6,3,3.48,0
12.1,8.3,3.44,0
11,2.6,3.15,0
9,1.9,3.43,0
11.1,2.5,3.32,0
11,2.6,3.15,0
11.6,3,3.48,0
9,1.9,3.43,0
12,6.55,3.17,0
12,6.55,3.17,0
10.9,1.9,3.18,0
10.8,1.8,3.21,0
12.5,2.9,3.16,0
10.8,1.8,3.25,0
9.5,2.3,3.17,0
10.2,2.2,3.18,0
11.4,2.8,3.04,0
9.5,4.6,3.02,0
10.2,2.2,3.18,0
9.7,2.1,3.03,0
11.8,2.4,3.09,0
11.8,2.4,3.09,0
9.3,6.1,3.31,0
11.9,4.3,3.25,0
8.4,2.1,3.16,0
11.7,2.8,3.22,0
11,2.5,3.36,0
10,2.7,3.42,0
9.1,2,3.48,0
9.8,2.3,3.38,0
9.4,2.5,3.22,0
9.5,2.4,3.23,0
9.9,2.8,3.24,0
11,2.5,3.36,0
11.4,2.5,3.39,0
8.7,2.6,3.34,0
9.4,2.4,3.09,0
10.3,2.1,3.41,0
10.3,2.7,3.16,0
10.3,2.7,3.16,0
12.8,2.1,3.22,0
10,2.7,3.28,0
10.3,2.1,3.41,0
9.4,2.4,3.09,0
10.7,2.1,3.37,0
12,5.8,3.2,0
11.2,5.15,3.22,0
9.6,3.3,3.26,0
11,6.3,3.21,0
9.9,2.1,3.12,0
11,2.5,3.06,0
8.4,1.8,2.86,0
9.1,2.6,3.08,0
9.5,2,3.45,0
10.7,2.5,3.26,0
10.4,2.6,3.12,0
9.4,1.9,3.27,0
9.5,2.1,3.33,0
10,2.8,3.19,0
10,2.7,3.12,0
11.5,1.6,3.74,0
11.1,4.2,2.92,0
11.1,4.2,2.92,0
11.7,4.6,3.07,0
11.1,4.2,2.92,0
11.7,4.6,3.07,0
12.7,4.3,3.3,0
11.4,2.8,3.14,0
9.2,2.4,3.23,0
9.2,2.9,3.08,0
10.1,2.7,3.31,0
12.7,4.3,3.3,0
11.4,2.8,3.14,0
9,2.5,3.32,0
9,2.5,3.32,0
10.7,2.6,3.31,0
11.7,2.2,3.57,0
11,3.3,3.32,0
11.7,2.2,3.57,0
10.4,2.4,3.14,0
9.6,2.1,3.3,0
10,3.2,3.19,0
10.2,3.1,3.2,0
10,2.3,3.34,0
9.5,2.8,3.3,0
9.8,2.9,3.29,0
9.8,2.2,3.14,0
9.6,2.2,3.19,0
9.6,2.2,3.19,0
9.2,2.2,3.19,0
9.9,1.9,2.98,0
10.7,3.4,3.3,0
9.6,2.4,3.47,0
10.6,2.7,3.12,0
9.3,1.9,3.26,0
14,2,3.72,0
10.5,2.6,3.05,0
9.7,2.6,3.35,0
11.5,1.7,3.12,0
9.7,2.6,3.35,0
9,3.5,3.29,0
9.5,2.6,3.4,0
9.3,7.9,3.27,0
9.3,2,3.04,0
10,1.9,3.09,0
9.8,2.1,3.2,0
9.3,2.3,3,0
10,2.1,3.26,0
9,2.2,3.1,0
9.3,2.6,3.3,0
9,2.2,3.1,0
9.1,2.9,3.17,0
9.2,2.6,3.31,0
12.2,4.6,3.34,0
10.5,3.3,3.31,0
10.4,5.1,3.32,0
12.7,3.2,3.56,0
9.2,2.5,3.39,0
9.4,2.7,2.98,0
10,2.4,3.32,0
9.8,1.5,3.26,0
10.2,2.2,2.87,0
9.7,2.3,3.5,0
9.7,2.3,3.5,0
9.8,2.2,3.03,0
10.2,2.7,3.13,0
9.3,2.3,3.09,0
9.4,3.4,3.27,0
9.4,3.4,3.28,0
9.5,1.9,3.13,0
12.1,2.9,3.49,0
10.2,5.6,3.46,0
10.2,5.6,3.46,0
9.1,2.2,3.36,0
9.1,2.2,3.36,0
9.3,2.5,3.27,0
9.3,2.3,3.21,0
9.3,2.5,3.27,0
9.5,2.7,3.25,0
10.5,3,3.32,0
11.3,3.4,3.43,0
9.5,1.9,3.27,0
9.7,1.4,3.27,0
9.4,2.4,3.24,0
9.4,2.3,3.24,0
10.2,2.2,3.35,0
10.3,1.9,3.18,0
9.4,2.3,3.39,0
9.5,2.3,3.46,0
9.4,2.3,3.39,0
9.5,2.3,3.46,0
9.4,2.3,3.39,0
10.1,6,3.37,0
10.1,3.6,3.4,0
11,2.2,3.32,0
11.2,2.8,3.33,0
11.3,8.6,3.16,0
9.6,2.2,2.89,0
11.2,2.5,3.41,0
14.9,7.5,2.98,0
12,2.8,3.12,0
9.5,2.4,3.08,0
9.4,2.9,3.14,0
9.6,2.2,2.89,0
10.5,1.4,2.92,0
9.6,1.4,3.32,0
11,4.4,3.41,0
9.6,1.4,3.32,0
9,1.6,3.31,0
9.6,1.6,3.36,0
10.2,1.8,3.04,0
10.2,2,3.03,0
9.7,2,3.14,0
9.5,1.8,3.18,0
9.2,2,2.94,0
11,2.3,3.15,0
9.2,2,2.94,0
10,2.5,3.26,0
9.5,1.7,3.2,0
9.5,2,3.15,0
9.5,1.7,3.2,0
9.3,2.2,3.08,0
10.2,2.2,3.26,0
9.3,2.2,3.08,0
9.9,2.3,3.4,0
10,2.6,3.48,0
9.6,3.3,3.13,0
9,1.9,3.06,0
10.2,2.2,3.21,0
9.8,2.25,3.33,0
11.3,2.6,3.37,0
9.4,2.3,3.25,0
11.3,2.6,3.37,0
9.1,1.8,3.44,0
9.7,3.1,3.28,0
9.4,1.6,3.4,0
